epoch,acc,loss,lr,val_acc,val_loss
0,0.40429469687981967,2.2229880509306943,0.001,0.35671570955660314,2.2739216145826395
1,0.4978526515600902,1.7350035496688083,0.001,0.3013763645077748,2.9578147440087927
2,0.5374303001542294,1.5810008048784947,0.001,0.2971998101594497,2.747046273298947
3,0.5607782655119231,1.4921886585194073,0.001,0.25486473659514025,2.954109872456801
4,0.5831533989797129,1.419628511903294,0.001,0.528334124358729,1.6725070072680104
5,0.597674694507059,1.3620445134985106,0.001,0.3315614617940199,2.847791353831316
6,0.6164195040930123,1.30852398779599,0.001,0.42971048884953034,2.034083899763675
7,0.6298256020880294,1.2677921053042034,0.001,0.23749406740288628,3.0208195684303534
8,0.6419741369082927,1.2328129619349364,0.001,0.4858092074208651,1.85593169673563
9,0.6550717760113892,1.2029484983383796,0.001,0.44176554343515967,1.9674949205255532
10,0.7244750266935579,0.9796939375250913,0.0003162278,0.6015187470365261,1.3633432037863167
11,0.7528769723573377,0.8895305372186793,0.0003162278,0.6059800664621561,1.3883683715434678
12,0.7765096689998814,0.8192707964754258,0.0003162278,0.6072140484185483,1.401679229792906
13,0.7967493178312968,0.7587469971806486,0.0003162278,0.6034171808286476,1.4791716906489158
14,0.8217582156839482,0.6904872670096143,0.0003162278,0.6084480303862562,1.5462237551249651
15,0.8428757859769842,0.6359302335340423,0.0003162278,0.6036070242220042,1.610370444945945
16,0.9207497923834381,0.4482598286080097,0.000100000005,0.6102515424887717,1.7057729924296563
17,0.944216395776486,0.38117732811842486,0.000100000005,0.6125296630308308,1.8304636732797572
18,0.9595207023371694,0.33700572524663036,0.000100000005,0.6075937351854593,1.9426668733174506
19,0.9701981255190414,0.3067049189979516,0.000100000005,0.608353108702308,2.0726230610927585
20,0.9778384149958477,0.2832482275044682,0.000100000005,0.6091124822191565,2.1524393737966774
